level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1603	871	-1	
2	1	1	0	0	0	618	17	411	6	-1	
3	1	1	1	0	0	618	17	411	6	-1	
4	1	1	1	1	0	618	17	411	6	-1	
5	1	1	1	1	1	618	17	411	6	95.000000	 
2	1	2	0	0	0	807	20	564	31	-1	
3	1	2	1	0	0	807	20	564	31	-1	
4	1	2	1	1	0	807	20	564	31	-1	
5	1	2	1	1	1	807	30	11	12	0.959717	,
5	1	2	1	1	2	891	20	17	31	32.839142	i]
5	1	2	1	1	3	1362	35	9	6	0.000000	°
2	1	3	0	0	0	0	99	1603	39	-1	
3	1	3	1	0	0	0	99	1603	39	-1	
4	1	3	1	1	0	0	99	1603	39	-1	
5	1	3	1	1	1	0	99	1603	39	95.000000	 
2	1	4	0	0	0	40	149	505	18	-1	
3	1	4	1	0	0	40	149	505	18	-1	
4	1	4	1	1	0	40	149	505	18	-1	
5	1	4	1	1	1	40	149	75	14	93.975494	USNews
5	1	4	1	1	2	146	149	47	14	28.200653	Metro
5	1	4	1	1	3	225	149	97	18	41.184883	Longlsland
5	1	4	1	1	4	353	149	61	14	86.896835	Politics
5	1	4	1	1	5	445	145	49	26	86.146072	World
5	1	4	1	1	6	506	145	42	26	96.953712	News
2	1	5	0	0	0	0	195	1603	109	-1	
3	1	5	1	0	0	0	195	76	11	-1	
4	1	5	1	1	0	0	195	76	11	-1	
5	1	5	1	1	1	0	195	3	11	34.994408	1
5	1	5	1	1	2	9	195	19	11	34.994408	US
5	1	5	1	1	3	34	195	42	11	91.239143	NEWS
3	1	5	2	0	0	0	222	1601	28	-1	
4	1	5	2	1	0	0	222	1601	28	-1	
5	1	5	2	1	1	0	225	44	14	92.122177	Texas
5	1	5	2	1	2	50	225	46	14	96.872787	death
5	1	5	2	1	3	102	228	32	11	96.885040	row
5	1	5	2	1	4	139	225	55	14	96.139046	inmate
5	1	5	2	1	5	260	222	17	28	40.471382	p=
5	1	5	2	1	6	329	231	2	2	37.037842	P|
5	1	5	2	1	7	366	225	58	14	79.910934	Barack
5	1	5	2	1	8	429	225	30	14	96.463425	and
5	1	5	2	1	9	466	225	68	14	96.729912	Michelle
5	1	5	2	1	10	604	222	3	9	89.687424	|
5	1	5	2	1	11	630	230	8	10	26.410339	2
5	1	5	2	1	12	733	225	33	14	84.715744	Wo
5	1	5	2	1	13	772	225	37	14	95.004028	shot
5	1	5	2	1	14	814	225	53	18	96.676628	during
5	1	5	2	1	15	874	225	55	18	95.857269	Eagles
5	1	5	2	1	16	1032	222	17	4	22.728149	i
5	1	5	2	1	17	1101	225	65	18	28.125923	Meghan
5	1	5	2	1	18	1173	225	54	14	96.711205	Markle
5	1	5	2	1	19	1233	225	30	14	96.962257	and
5	1	5	2	1	20	1339	234	4	8	0.000000	t
5	1	5	2	1	21	1393	238	42	2	0.000000	=i
5	1	5	2	1	22	1468	225	46	14	80.524734	Black
5	1	5	2	1	23	1520	225	46	14	92.326225	Hawk
5	1	5	2	1	24	1572	225	29	18	32.315353	pilo
3	1	5	3	0	0	0	232	1603	37	-1	
4	1	5	3	1	0	0	232	1603	37	-1	
5	1	5	3	1	1	0	247	60	14	93.093391	nouths
5	1	5	3	1	2	65	247	35	14	93.249893	final
5	1	5	3	1	3	105	247	58	14	86.957535	2-word
5	1	5	3	1	4	365	247	60	14	95.745285	Obama
5	1	5	3	1	5	431	248	37	17	96.322083	post
5	1	5	3	1	6	472	247	90	14	94.080933	Valentine's
5	1	5	3	1	7	604	232	3	37	89.302696	|
5	1	5	3	1	8	733	247	50	18	96.818665	Super
5	1	5	3	1	9	788	247	41	14	90.062042	Bowl
5	1	5	3	1	10	836	247	60	18	96.217392	parade,
5	1	5	3	1	11	1101	247	52	14	96.415825	Prince
5	1	5	3	1	12	1159	247	45	18	95.834732	Harry
5	1	5	3	1	13	1210	247	55	18	96.225555	paying
5	1	5	3	1	14	1272	247	25	18	96.225555	big
5	1	5	3	1	15	1468	247	39	14	96.618477	have
5	1	5	3	1	16	1513	247	60	14	96.239136	missed
5	1	5	3	1	17	1579	247	24	18	54.197128	im}
3	1	5	4	0	0	0	264	1603	33	-1	
4	1	5	4	1	0	0	264	1603	22	-1	
5	1	5	4	1	1	0	271	72	15	90.845604	nessage
5	1	5	4	1	2	77	268	16	14	96.999306	to
5	1	5	4	1	3	98	268	78	14	54.219734	victims’...
5	1	5	4	1	4	243	267	46	11	0.000000	~F
5	1	5	4	1	5	366	268	31	18	93.283806	Day
5	1	5	4	1	6	402	268	44	14	91.940224	selfie
5	1	5	4	1	7	452	271	18	11	96.999779	as
5	1	5	4	1	8	476	268	75	14	95.357979	divorce...
5	1	5	4	1	9	604	270	2	3	66.017136	i
5	1	5	4	1	10	733	268	97	14	96.487114	celebration:
5	1	5	4	1	11	837	269	50	17	96.544167	report
5	1	5	4	1	12	1018	264	9	16	47.813488	a
5	1	5	4	1	13	1101	268	49	14	96.921013	bucks
5	1	5	4	1	14	1156	269	16	13	96.980904	to
5	1	5	4	1	15	1178	268	55	14	96.195679	Dem...
