level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
5	1	5	4	1	16	1414	278	19	4	70.160904	—
5	1	5	4	1	17	1468	268	21	14	29.619904	air
5	1	5	4	1	18	1493	268	48	14	95.566635	traffic
5	1	5	4	1	19	1547	268	56	14	96.253059	contro
4	1	5	4	2	0	271	273	1166	31	-1	
5	1	5	4	2	1	271	273	9	31	0.000000	(.
5	1	5	4	2	2	1015	295	7	2	0.000000	r
5	1	5	4	2	3	1419	292	18	2	37.167034	ee
2	1	6	0	0	0	135	371	1191	312	-1	
3	1	6	1	0	0	134	357	1192	107	-1	
4	1	6	1	1	0	390	371	442	18	-1	
5	1	6	1	1	1	390	371	46	15	95.790390	Feds
5	1	6	1	1	2	442	375	52	11	96.315353	move
5	1	6	1	1	3	500	372	19	14	96.159676	to
5	1	6	1	1	4	525	372	41	14	96.775620	toss
5	1	6	1	1	5	572	371	66	15	96.362320	Adams
5	1	6	1	1	6	644	371	103	18	96.653976	corruption
5	1	6	1	1	7	754	371	78	18	96.036774	charges
4	1	6	1	2	0	1118	443	208	21	-1	
5	1	6	1	2	1	1118	443	137	21	95.848328	TRENDING
5	1	6	1	2	2	1271	443	55	21	95.848328	NOW
3	1	6	2	0	0	136	470	1082	48	-1	
4	1	6	2	1	0	136	470	1082	48	-1	
5	1	6	2	1	1	136	470	184	48	95.950912	Meghan
5	1	6	2	1	2	332	470	158	39	94.950638	Markle
5	1	6	2	1	3	499	470	85	39	94.950638	and
5	1	6	2	1	4	596	470	148	39	96.582787	Prince
5	1	6	2	1	5	755	470	129	47	96.427498	Harry
5	1	6	2	1	6	893	470	153	48	67.355774	paying
5	1	6	2	1	7	1083	466	20	56	23.931625	=
5	1	6	2	1	8	1116	480	102	13	23.931625	™="="*
3	1	6	3	0	0	136	525	835	48	-1	
4	1	6	3	1	0	136	525	835	48	-1	
5	1	6	3	1	1	136	525	68	48	96.599693	big
5	1	6	3	1	2	215	525	139	39	96.554932	bucks
5	1	6	3	1	3	363	527	46	37	96.884857	to
5	1	6	3	1	4	420	525	106	39	96.834076	Dem
5	1	6	3	1	5	536	525	245	47	96.038979	operatives
5	1	6	3	1	6	789	525	66	39	96.546425	via
5	1	6	3	1	7	864	525	107	39	96.697762	their
3	1	6	4	0	0	135	580	629	48	-1	
4	1	6	4	1	0	135	580	629	48	-1	
5	1	6	4	1	1	135	580	162	47	92.869156	charity
5	1	6	4	1	2	304	601	26	7	41.806023	-
5	1	6	4	1	3	338	580	201	48	96.356850	sparking
5	1	6	4	1	4	550	580	106	39	94.933678	calls
5	1	6	4	1	5	664	581	100	38	94.933678	fora
3	1	6	5	0	0	135	635	630	48	-1	
4	1	6	5	1	0	135	635	630	48	-1	
5	1	6	5	1	1	135	635	325	48	92.502480	congressional
5	1	6	5	1	2	472	635	293	48	92.502480	investigation
2	1	7	0	0	0	135	705	292	47	-1	
3	1	7	1	0	0	135	705	292	47	-1	
4	1	7	1	1	0	135	705	19	17	-1	
5	1	7	1	1	1	135	705	19	17	97.008606	By
4	1	7	1	2	0	135	735	292	17	-1	
5	1	7	1	2	1	135	735	73	13	96.453697	Published
5	1	7	1	2	2	215	735	32	13	96.967682	Feb.
5	1	7	1	2	3	255	735	20	15	96.843018	14,
5	1	7	1	2	4	282	735	41	15	96.822899	2025,
5	1	7	1	2	5	329	735	30	13	94.842789	4:51
5	1	7	1	2	6	368	738	31	14	94.842789	p.m.
5	1	7	1	2	7	407	735	20	13	96.533813	ET
2	1	8	0	0	0	1110	520	332	224	-1	
3	1	8	1	0	0	1110	520	332	224	-1	
4	1	8	1	1	0	1110	520	332	224	-1	
5	1	8	1	1	1	1110	520	332	224	95.000000	 
2	1	9	0	0	0	918	722	114	12	-1	
3	1	9	1	0	0	918	722	114	12	-1	
4	1	9	1	1	0	918	722	114	12	-1	
5	1	9	1	1	1	918	722	25	12	95.888985	533
5	1	9	1	1	2	950	722	82	12	81.961159	Comments
2	1	10	0	0	0	1117	762	306	14	-1	
3	1	10	1	0	0	1117	762	306	14	-1	
4	1	10	1	1	0	1117	762	306	14	-1	
5	1	10	1	1	1	1117	762	47	14	96.865814	Texas
5	1	10	1	1	2	1170	762	46	14	96.957848	death
5	1	10	1	1	3	1222	765	31	11	96.818245	row
5	1	10	1	1	4	1258	762	56	14	96.164337	inmate
5	1	10	1	1	5	1320	762	63	14	96.869194	mouths
5	1	10	1	1	6	1388	762	35	14	96.757622	final
2	1	11	0	0	0	1116	783	298	35	-1	
3	1	11	1	0	0	1116	783	298	35	-1	
4	1	11	1	1	0	1116	783	298	18	-1	
5	1	11	1	1	1	1116	783	57	14	92.641304	2-word
5	1	11	1	1	2	1179	786	75	15	96.569687	message
5	1	11	1	1	3	1259	784	17	13	96.999046	to
5	1	11	1	1	4	1281	783	63	14	21.679573	victims’
5	1	11	1	1	5	1350	783	64	14	96.841568	families
4	1	11	1	2	0	1117	804	139	14	-1	
5	1	11	1	2	1	1117	804	52	14	96.879532	before
5	1	11	1	2	2	1175	804	81	14	96.689148	execution
2	1	12	0	0	0	1051	778	1	86	-1	
3	1	12	1	0	0	1051	778	1	86	-1	
4	1	12	1	1	0	1051	778	1	86	-1	
5	1	12	1	1	1	1051	778	1	86	95.000000	 
