level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1230	848	-1	
2	1	1	0	0	0	1	0	1229	6	-1	
3	1	1	1	0	0	1	0	1229	6	-1	
4	1	1	1	1	0	1	0	1229	6	-1	
5	1	1	1	1	1	1	0	1229	6	95.000000	 
2	1	2	0	0	0	18	2	1197	33	-1	
3	1	2	1	0	0	18	2	1197	33	-1	
4	1	2	1	1	0	18	2	1197	33	-1	
5	1	2	1	1	1	18	13	59	15	96.979927	Privacy
5	1	2	1	1	2	82	13	47	15	94.249474	Policy
5	1	2	1	1	3	135	9	1	20	96.347160	|
5	1	2	1	1	4	142	13	77	12	96.347160	Feedback
5	1	2	1	1	5	232	2	9	33	65.720551	[
5	1	2	1	1	6	245	2	62	33	21.505714	fFottow
5	1	2	1	1	7	314	2	28	33	28.746689	22.5
5	1	2	1	1	8	353	2	9	33	68.564484	]
5	1	2	1	1	9	313	13	37	11	80.005112	22.5M
5	1	2	1	1	10	695	13	71	15	96.588112	Tuesday,
5	1	2	1	1	11	772	13	28	12	95.746758	Feb
5	1	2	1	1	12	804	13	29	12	55.049801	11th
5	1	2	1	1	13	839	13	40	12	93.103264	2025
5	1	2	1	1	14	885	13	40	12	90.410431	10PM
5	1	2	1	1	15	931	13	31	12	92.516586	-1°F
5	1	2	1	1	16	970	14	12	15	60.522060	«
5	1	2	1	1	17	993	13	30	12	93.220436	1AM
5	1	2	1	1	18	1030	13	34	12	92.243210	-6°F
5	1	2	1	1	19	1072	14	12	15	30.407059	«.
5	1	2	1	1	20	1095	13	47	15	93.973877	5-Day
5	1	2	1	1	21	1147	13	68	12	96.712463	Forecast
2	1	3	0	0	0	15	43	1180	98	-1	
3	1	3	1	0	0	15	43	1180	98	-1	
4	1	3	1	1	0	15	43	1180	98	-1	
5	1	3	1	1	1	15	52	152	72	96.115646	Daily
5	1	3	1	1	2	214	43	177	98	92.585846	Mail
5	1	3	1	1	3	1011	54	184	57	96.228348	News
2	1	4	0	0	0	20	159	222	21	-1	
3	1	4	1	0	0	20	159	222	21	-1	
4	1	4	1	1	0	20	159	222	21	-1	
5	1	4	1	1	1	20	163	48	13	95.517380	Home
5	1	4	1	1	2	78	159	1	21	95.517380	|
5	1	4	1	1	3	87	159	72	21	96.524315	Showbiz
5	1	4	1	1	4	169	159	1	21	96.524315	|
5	1	4	1	1	5	178	163	24	13	95.834137	TV
5	1	4	1	1	6	221	165	21	13	41.259995	[5
